timestamp,mic,accel_x,accel_y,accel_z
226898,0,-0.71,3.06,7.92
227269,6,-2.71,2.94,7.57
227641,4,1.84,0.98,9.81
227998,6,-1.84,1.26,8.04
228369,1,-0.20,-0.86,8.28
228755,3,-1.65,1.57,7.30
229127,5,-1.80,2.47,7.26
229498,3,-1.73,1.84,7.37
229869,0,3.10,-0.12,9.81
230241,2,1.22,-0.63,9.10
230612,7,-1.92,2.24,6.86
230983,7,-1.53,3.02,7.45
231355,0,-1.53,2.00,8.94
231727,6,-0.86,2.98,8.08
232097,1,-2.20,-0.67,10.16
232498,15,-2.55,-0.20,8.12
232898,8,2.20,-0.78,9.92
233269,4,0.51,0.12,9.61
233626,6,-2.08,2.71,7.18
233998,11,1.69,0.31,9.30
234370,5,-0.98,2.94,7.34
234740,4,-0.16,1.22,7.26
235112,4,2.47,-0.43,10.04
235498,8,-0.90,2.51,7.61
235869,3,2.31,-0.12,8.04
236240,3,-2.12,2.71,7.22
236612,14,-1.65,1.37,7.45
236997,9,-0.75,2.12,9.49
237369,6,0.67,0.59,9.30
237726,9,1.80,0.24,10.12
238098,2,0.94,0.43,9.06
238454,0,1.26,-0.51,9.73
238826,11,2.98,0.94,9.69
239198,9,1.77,0.59,9.53
239554,2,0.94,-0.67,9.92
239926,3,-1.69,3.06,7.41
240297,2,-2.51,2.75,7.14
240669,1,0.08,0.98,8.28
241026,0,-1.37,2.08,7.53
241397,10,-1.29,-0.51,10.04
241812,11,0.47,1.65,8.71
242183,1,0.08,-1.45,8.90
242554,2,1.69,0.24,10.36
242926,9,-1.45,0.67,7.92
243297,0,-3.18,1.73,7.06
243668,3,-2.00,1.18,7.61
244040,1,-2.86,1.37,7.02
244412,4,-1.57,1.73,7.06
244783,3,-2.51,3.57,6.94
245154,2,-0.08,-0.31,8.51
245540,1,-0.63,3.10,8.12
245911,1,-1.53,2.63,6.83
246283,5,1.61,-0.75,9.81
246654,5,-1.84,2.59,6.90
247025,15,-1.14,-0.59,8.55
247426,8,0.12,-0.27,8.20
247797,1,-2.67,1.73,7.02
248168,8,3.37,1.69,9.69
248525,1,1.49,2.04,8.71
248883,8,1.92,0.00,8.20
249240,10,1.88,0.20,10.36
249625,9,1.84,2.00,8.39
249982,3,-1.33,0.94,7.81
250354,4,-0.27,3.45,7.41
250726,0,-0.94,2.98,7.53
251097,4,-2.08,2.86,7.37
251468,6,-0.94,2.51,7.41
251840,3,-0.90,1.96,7.10
252211,4,0.94,0.63,9.30
252568,2,-0.59,3.37,8.12
252940,6,0.39,1.88,7.02
253297,4,-0.86,1.41,7.57
253668,3,1.10,0.24,9.18
254025,8,1.10,0.00,9.14
254383,4,-0.31,-0.39,10.32
254782,10,1.65,-1.33,8.75
255168,15,-2.86,2.67,7.06
255554,4,-1.49,1.57,8.87
255925,3,1.84,0.31,10.67
